epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7237,0.87844,4.43737,1.09808,0.39197,0.29134,0.19231,0.1761,0.49966,2.98873,0.88053,6.003e-05,6.003e-05,6.003e-05
2,27.1786,0.68961,2.60486,1.01227,0.38218,0.55875,0.51789,0.44013,0.59011,3.29944,0.93068,0.000124639,0.000124639,0.000124639
3,30.6919,0.68041,2.2116,0.96797,0.63858,0.60853,0.68906,0.60716,0.54927,2.15724,0.90694,0.000187047,0.000187047,0.000187047
4,34.1098,0.63099,1.33784,0.95697,0.89541,0.72159,0.86639,0.76048,0.54767,1.2545,0.90658,0.000247254,0.000247254,0.000247254
5,37.6949,0.58943,1.0468,0.91766,0.82882,0.875,0.90727,0.79686,0.52091,0.86031,0.88742,0.000305259,0.000305259,0.000305259
6,41.628,0.63266,1.00021,0.9547,0.76342,0.92025,0.94266,0.84289,0.50979,0.85141,0.88429,0.000361064,0.000361064,0.000361064
7,44.8589,0.60783,0.89174,0.92134,0.89787,0.75728,0.88453,0.78222,0.5579,0.79546,0.89534,0.000414667,0.000414667,0.000414667
8,48.287,0.59651,0.738,0.92497,0.86783,0.94734,0.93545,0.81613,0.56303,0.55972,0.92466,0.00046607,0.00046607,0.00046607
9,52.1884,0.59527,0.70777,0.91856,0.89693,0.90643,0.96212,0.82053,0.56442,0.53138,0.93265,0.000515271,0.000515271,0.000515271
10,55.6414,0.5741,0.68394,0.91572,0.76909,0.92784,0.94092,0.80324,0.56955,0.61934,0.91301,0.000562271,0.000562271,0.000562271
11,58.786,0.61057,0.65462,0.92399,0.9504,0.85585,0.95877,0.83793,0.53781,0.49199,0.89737,0.000556945,0.000556945,0.000556945
12,62.1824,0.62359,0.67326,0.92412,0.9437,0.91302,0.98021,0.84193,0.55037,0.50647,0.91404,0.00054594,0.00054594,0.00054594
